"","1 Bedroom","2 Bedrooms","3 Bedrooms","4 Bedrooms","5+ Bedrooms"
"Dublin City ","5565","5259","855","25","16"
"South Dublin ","1590","2709","440","0","0"
"Dun-Laoghaire Rathdown ","1267","1892","283","64","0"
"Fingal ","1262","1210","212","28","12"
"Kildare ","332","833","216","0","0"
"Meath ","208","731","164","2","0"
"Cork City ","372","554","126","0","0"
"Wicklow ","153","345","105","0","0"
"Wexford ","54","309","89","0","0"
"Louth ","107","200","113","9","8"
"Waterford ","128","236","33","2","0"
"Limerick ","131","241","3","0","0"
"Westmeath ","117","159","60","0","0"
"Galway City ","65","177","19","0","0"
"Cork County ","56","104","12","0","0"
"Tipperary ","45","92","18","0","0"
"Donegal ","19","119","9","0","0"
"Kilkenny ","55","67","17","3","0"
"Laois ","41","75","1","0","0"
"Galway County","15","49","22","0","0"
"Clare ","7","68","5","0","0"
"Kerry ","20","26","2","0","0"
"Offaly ","18","25","0","0","0"
"Roscommon ","0","26","0","0","0"
"Mayo ","10","10","0","0","0"
"Sligo ","4","8","5","0","0"
"Longford ","8","8","0","0","0"
"Carlow ","8","6","0","0","0"
"Cavan ","0","6","0","0","0"
"Monaghan ","2","1","0","0","0"
"Leitrim ","2","0","0","0","0"
