"","1 Bedroom","2 Bedrooms","3 Bedrooms","4 Bedrooms","5+ Bedrooms"
"Dublin City ","6672","4291","781","26","50"
"Dun-Laoghaire Rathdown ","1921","2490","343","7","0"
"South Dublin ","1290","2208","352","0","0"
"Cork City ","822","1373","324","18","0"
"Meath ","500","1125","271","0","0"
"Kildare ","437","1009","239","0","0"
"Fingal ","637","847","133","0","0"
"Wexford ","54","558","108","0","0"
"Louth ","287","330","86","0","0"
"Limerick ","234","328","62","3","0"
"Wicklow ","144","255","127","0","0"
"Galway City ","94","278","11","1","0"
"Westmeath ","100","211","59","0","0"
"Offaly ","74","145","41","2","0"
"Cork County ","52","161","30","0","0"
"Laois ","49","144","7","0","0"
"Galway County","23","96","43","0","0"
"Tipperary ","72","75","14","0","0"
"Kerry ","102","42","8","0","0"
"Carlow ","37","83","4","0","0"
"Waterford ","35","45","0","0","0"
"Donegal ","23","34","0","0","0"
"Clare ","10","35","6","0","0"
"Cavan ","5","23","14","0","0"
"Kilkenny ","9","25","0","0","0"
"Mayo ","13","12","0","0","0"
"Monaghan ","1","7","0","0","0"
"Roscommon ","5","3","0","0","0"
"Leitrim ","6","0","0","0","0"
"Longford ","2","0","0","0","0"
"Sligo ","0","0","0","0","0"
