"","National ","Dublin","GDA (excl. Dublin)","Outside GDA"
"Q1 2013","761","996","737","580"
"Q2 2013","770","1038","742","578"
"Q3 2013","796","1073","764","606"
"Q4 2013","793","1088","762","582"
"Q1 2014","795","1086","783","581"
"Q2 2014","823","1150","810","594"
"Q3 2014","851","1192","845","627"
"Q4 2014","846","1197","840","602"
"Q1 2015","856","1192","860","612"
"Q2 2015","883","1252","885","625"
"Q3 2015","923","1296","932","668"
"Q4 2015","933","1298","930","666"
"Q1 2016","930","1293","956","658"
"Q2 2016","964","1354","977","682"
"Q3 2016","996","1398","1007","724"
"Q4 2016","1014","1430","1024","718"
"Q1 2017","1012","1412","1032","721"
"Q2 2017","1045","1467","1062","748"
"Q3 2017","1072","1508","1086","773"
"Q4 2017","1082","1519","1114","764"
"Q1 2018","1086","1533","1095","767"
"Q2 2018","1128","1598","1122","795"
"Q3 2018","1157","1647","1148","830"
"Q4 2018","1153","1632","1159","814"
"Q1 2019","1170","1649","1161","835"
"Q2 2019","1204","1709","1198","852"
"Q3 2019","1242","1744","1247","897"
"Q4 2019","1224","1712","1241","875"
"Q1 2020","1234","1735","1285","871"
"Q2 2020","1226","1709","1237","880"
"Q3 2020","1256","1758","1254","922"
"Q4 2020","1256","1745","1307","904"
"Q1 2021","1320","1820","1333","971"
"Q2 2021","1352","1848","1397","1007"
"Q3 2021","1397","1916","1444","1070"
"Q4 2021","1415","1972","1393","1059"
"Q1 2022","1460","2015","1472","1081"
"Q2 2022","1464","2011","1438","1091"
"Q3 2022","1482","2022","1476","1164"
"Q4 2022","1507","2063","1509","1131"
"Q1 2023","1544","2103","1530","1133"
"Q2 2023","1574","2102","1525","1167"
"Q3 2023","1598","2113","1541","1253"
"Q4 2023","1595","2098","1569","1225"
"Q1 2024","1612","2128","1559","1235"
"Q2 2024","1644","2147","1594","1276"
"Q3 2024","1693","2226","1656","1346"
"Q4 2024","1680","2177","1666","1301"
"Q1 2025","1696","2186","1669","1321"
"Q2 2025","1731","2230","1713","1362"
