"","National ","Dublin","GDA (excl. Dublin)","Outside GDA"
"Q1 2013","797","1017","670","590"
"Q2 2013","806","1048","676","583"
"Q3 2013","833","1093","684","605"
"Q4 2013","829","1097","699","583"
"Q1 2014","847","1131","724","593"
"Q2 2014","871","1167","748","602"
"Q3 2014","896","1228","772","626"
"Q4 2014","897","1220","774","605"
"Q1 2015","919","1235","793","624"
"Q2 2015","938","1266","830","628"
"Q3 2015","982","1322","865","679"
"Q4 2015","991","1307","874","672"
"Q1 2016","1005","1329","911","683"
"Q2 2016","1021","1354","920","693"
"Q3 2016","1057","1445","933","723"
"Q4 2016","1089","1465","951","740"
"Q1 2017","1105","1469","995","762"
"Q2 2017","1128","1510","1023","773"
"Q3 2017","1155","1551","1019","803"
"Q4 2017","1162","1534","1050","796"
"Q1 2018","1185","1576","1066","814"
"Q2 2018","1219","1627","1063","835"
"Q3 2018","1245","1672","1070","861"
"Q4 2018","1237","1634","1084","858"
"Q1 2019","1266","1678","1091","886"
"Q2 2019","1284","1702","1155","886"
"Q3 2019","1302","1716","1157","917"
"Q4 2019","1283","1690","1141","892"
"Q1 2020","1319","1747","1201","905"
"Q2 2020","1294","1692","1182","906"
"Q3 2020","1326","1740","1201","963"
"Q4 2020","1314","1709","1219","941"
"Q1 2021","1347","1745","1235","970"
"Q2 2021","1365","1763","1288","998"
"Q3 2021","1406","1825","1285","1055"
"Q4 2021","1425","1857","1224","1018"
"Q1 2022","1439","1870","1270","1019"
"Q2 2022","1453","1894","1241","1032"
"Q3 2022","1475","1904","1255","1073"
"Q4 2022","1511","1964","1306","1070"
"Q1 2023","1542","1995","1351","1079"
"Q2 2023","1597","2050","1393","1133"
"Q3 2023","1619","2087","1407","1202"
"Q4 2023","1621","2079","1454","1184"
"Q1 2024","1645","2104","1464","1223"
"Q2 2024","1671","2114","1465","1242"
"Q3 2024","1707","2188","1479","1300"
"Q4 2024","1693","2136","1501","1271"
"Q1 2025","1714","2159","1519","1295"
"Q2 2025","1729","2190","1562","1295"
