"Statistic Label","Year","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Both sexes","All NACE economic sectors","Euro","325646"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Both sexes","Construction (F)","Euro","340107"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","330063"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Both sexes","Transportation and storage (H)","Euro","309890"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Both sexes","Accommodation and food service activities (I)","Euro","332298"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Both sexes","Information and communication (J)","Euro","324759"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Both sexes","Professional, scientific and technical activities (M)","Euro","338693"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Both sexes","Administrative and support service activities (N)","Euro","348804"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Both sexes","Public administration and defence; compulsory social security (O)","Euro","251513"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Both sexes","Education (P)","Euro","283167"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Both sexes","Human health and social work activities (Q)","Euro","267603"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Both sexes","Industry (B to E)","Euro","324506"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","343221"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","329092"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Male","All NACE economic sectors","Euro","328589"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Male","Construction (F)","Euro","343459"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","330203"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Male","Transportation and storage (H)","Euro","311081"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Male","Accommodation and food service activities (I)","Euro","322779"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Male","Information and communication (J)","Euro","324557"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Male","Professional, scientific and technical activities (M)","Euro","341840"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Male","Administrative and support service activities (N)","Euro","354324"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Male","Public administration and defence; compulsory social security (O)","Euro","255486"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Male","Education (P)","Euro","290343"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Male","Human health and social work activities (Q)","Euro","273756"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Male","Industry (B to E)","Euro","324791"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Male","Financial, insurance and real estate activities (K,L)","Euro","346639"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","341148"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Female","All NACE economic sectors","Euro","316894"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Female","Construction (F)","Euro",""
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","329657"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Female","Transportation and storage (H)","Euro",""
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Female","Accommodation and food service activities (I)","Euro",""
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Female","Information and communication (J)","Euro","325306"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Female","Professional, scientific and technical activities (M)","Euro","329143"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Female","Administrative and support service activities (N)","Euro","334228"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Female","Public administration and defence; compulsory social security (O)","Euro","243917"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Female","Education (P)","Euro",""
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Female","Human health and social work activities (Q)","Euro","256200"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Female","Industry (B to E)","Euro","323509"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Female","Financial, insurance and real estate activities (K,L)","Euro","331280"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2022","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","284891"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","All NACE economic sectors","Euro","336531"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Construction (F)","Euro","355778"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","344193"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Transportation and storage (H)","Euro","320250"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Accommodation and food service activities (I)","Euro","362730"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Information and communication (J)","Euro","337416"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Professional, scientific and technical activities (M)","Euro","349036"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Administrative and support service activities (N)","Euro","366381"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Public administration and defence; compulsory social security (O)","Euro","264738"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Education (P)","Euro","297156"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Human health and social work activities (Q)","Euro","284642"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Industry (B to E)","Euro","336717"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","354770"
"Employments in Top 1% of Earnings - Mean Annual Earnings","2023","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","343196"
