"","Total ESB Connections"
"1970","13887"
"1971","15380"
"1972","21572"
"1973","24659"
"1974","26256"
"1975","26892"
"1976","24000"
"1977","24548"
"1978","25444"
"1979","26544"
"1980","27785"
"1981","28917"
"1982","26798"
"1983","26138"
"1984","24944"
"1985","23948"
"1986","22680"
"1987","18450"
"1988","15654"
"1989","18068"
"1990","19539"
"1991","19652"
"1992","22064"
"1993","20991"
"1994","26463"
"1995","30175"
"1996","33325"
"1997","38442"
"1998","41949"
"1999","46112"
"2000","49412"
"2001","52202"
"2002","57295"
"2003","68419"
"2004","76554"
"2005","80557"
"2006","93019"
"2007","77627"
"2008","51324"
"2009","26420"
"2010","14602"
"2011","10480"
"2012","8488"
"2013","8301"
"2014","11016"
"2015","12666"
"2016","14932"
"2017","19271"
"2018","22385"
"2019","25259"
"2020","24543"
"2021","24639"
