"STATISTIC","Statistic Label","TLIST(A1)","Census Year","C02199V02655","Sex","C02196V02652","Regional Homelessness Action Plan Areas","UNIT","VALUE"
"F6002C01","Homeless persons","2022","2022","-","Both sexes","-","State","Number","10321"
"F6002C01","Homeless persons","2022","2022","-","Both sexes","5006","North-West","Number","102"
"F6002C01","Homeless persons","2022","2022","-","Both sexes","5008","North-East","Number","184"
"F6002C01","Homeless persons","2022","2022","-","Both sexes","IE12","Midland","Number","138"
"F6002C01","Homeless persons","2022","2022","-","Both sexes","IE13","West","Number","489"
"F6002C01","Homeless persons","2022","2022","-","Both sexes","IE21","Dublin","Number","7238"
"F6002C01","Homeless persons","2022","2022","-","Both sexes","IE22","Mid-East","Number","631"
"F6002C01","Homeless persons","2022","2022","-","Both sexes","IE23","Mid-West","Number","477"
"F6002C01","Homeless persons","2022","2022","-","Both sexes","IE24","South-East","Number","331"
"F6002C01","Homeless persons","2022","2022","-","Both sexes","IE25","South-West","Number","731"
"F6002C01","Homeless persons","2022","2022","1","Male","-","State","Number","6234"
"F6002C01","Homeless persons","2022","2022","1","Male","5006","North-West","Number","58"
"F6002C01","Homeless persons","2022","2022","1","Male","5008","North-East","Number","107"
"F6002C01","Homeless persons","2022","2022","1","Male","IE12","Midland","Number","69"
"F6002C01","Homeless persons","2022","2022","1","Male","IE13","West","Number","285"
"F6002C01","Homeless persons","2022","2022","1","Male","IE21","Dublin","Number","4363"
"F6002C01","Homeless persons","2022","2022","1","Male","IE22","Mid-East","Number","396"
"F6002C01","Homeless persons","2022","2022","1","Male","IE23","Mid-West","Number","281"
"F6002C01","Homeless persons","2022","2022","1","Male","IE24","South-East","Number","200"
"F6002C01","Homeless persons","2022","2022","1","Male","IE25","South-West","Number","475"
"F6002C01","Homeless persons","2022","2022","2","Female","-","State","Number","4087"
"F6002C01","Homeless persons","2022","2022","2","Female","5006","North-West","Number","44"
"F6002C01","Homeless persons","2022","2022","2","Female","5008","North-East","Number","77"
"F6002C01","Homeless persons","2022","2022","2","Female","IE12","Midland","Number","69"
"F6002C01","Homeless persons","2022","2022","2","Female","IE13","West","Number","204"
"F6002C01","Homeless persons","2022","2022","2","Female","IE21","Dublin","Number","2875"
"F6002C01","Homeless persons","2022","2022","2","Female","IE22","Mid-East","Number","235"
"F6002C01","Homeless persons","2022","2022","2","Female","IE23","Mid-West","Number","196"
"F6002C01","Homeless persons","2022","2022","2","Female","IE24","South-East","Number","131"
"F6002C01","Homeless persons","2022","2022","2","Female","IE25","South-West","Number","256"
