"Statistic Label","CensusYear","Sex","County","UNIT","VALUE"
"Population 2016","2022","Both sexes","Ireland","Number","4761865"
"Population 2016","2022","Both sexes","Co. Carlow","Number","56932"
"Population 2016","2022","Both sexes","Co. Cavan","Number","76176"
"Population 2016","2022","Both sexes","Co. Clare","Number","118817"
"Population 2016","2022","Both sexes","Co. Cork","Number","542868"
"Population 2016","2022","Both sexes","Co. Donegal","Number","159192"
"Population 2016","2022","Both sexes","Co. Dublin","Number","1347359"
"Population 2016","2022","Both sexes","Co. Galway","Number","258058"
"Population 2016","2022","Both sexes","Co. Kerry","Number","147707"
"Population 2016","2022","Both sexes","Co. Kildare","Number","222504"
"Population 2016","2022","Both sexes","Co. Kilkenny","Number","99232"
"Population 2016","2022","Both sexes","Co. Laois","Number","84697"
"Population 2016","2022","Both sexes","Co. Leitrim","Number","32044"
"Population 2016","2022","Both sexes","Co. Limerick","Number","194899"
"Population 2016","2022","Both sexes","Co. Longford","Number","40873"
"Population 2016","2022","Both sexes","Co. Louth","Number","128884"
"Population 2016","2022","Both sexes","Co. Mayo","Number","130507"
"Population 2016","2022","Both sexes","Co. Meath","Number","195044"
"Population 2016","2022","Both sexes","Co. Monaghan","Number","61386"
"Population 2016","2022","Both sexes","Co. Offaly","Number","77961"
"Population 2016","2022","Both sexes","Co. Roscommon","Number","64544"
"Population 2016","2022","Both sexes","Co. Sligo","Number","65535"
"Population 2016","2022","Both sexes","Co. Tipperary","Number","159553"
"Population 2016","2022","Both sexes","Co. Waterford","Number","116176"
"Population 2016","2022","Both sexes","Co. Westmeath","Number","88770"
"Population 2016","2022","Both sexes","Co. Wexford","Number","149722"
"Population 2016","2022","Both sexes","Co. Wicklow","Number","142425"
"Population 2022","2022","Both sexes","Ireland","Number","5123536"
"Population 2022","2022","Both sexes","Co. Carlow","Number","61931"
"Population 2022","2022","Both sexes","Co. Cavan","Number","81201"
"Population 2022","2022","Both sexes","Co. Clare","Number","127419"
"Population 2022","2022","Both sexes","Co. Cork","Number","581231"
"Population 2022","2022","Both sexes","Co. Donegal","Number","166321"
"Population 2022","2022","Both sexes","Co. Dublin","Number","1450701"
"Population 2022","2022","Both sexes","Co. Galway","Number","276451"
"Population 2022","2022","Both sexes","Co. Kerry","Number","155258"
"Population 2022","2022","Both sexes","Co. Kildare","Number","246977"
"Population 2022","2022","Both sexes","Co. Kilkenny","Number","103685"
"Population 2022","2022","Both sexes","Co. Laois","Number","91657"
"Population 2022","2022","Both sexes","Co. Leitrim","Number","35087"
"Population 2022","2022","Both sexes","Co. Limerick","Number","205444"
"Population 2022","2022","Both sexes","Co. Longford","Number","46634"
"Population 2022","2022","Both sexes","Co. Louth","Number","139100"
"Population 2022","2022","Both sexes","Co. Mayo","Number","137231"
"Population 2022","2022","Both sexes","Co. Meath","Number","220296"
"Population 2022","2022","Both sexes","Co. Monaghan","Number","64832"
"Population 2022","2022","Both sexes","Co. Offaly","Number","82668"
"Population 2022","2022","Both sexes","Co. Roscommon","Number","69995"
"Population 2022","2022","Both sexes","Co. Sligo","Number","69819"
"Population 2022","2022","Both sexes","Co. Tipperary","Number","167661"
"Population 2022","2022","Both sexes","Co. Waterford","Number","127085"
"Population 2022","2022","Both sexes","Co. Westmeath","Number","95840"
"Population 2022","2022","Both sexes","Co. Wexford","Number","163527"
"Population 2022","2022","Both sexes","Co. Wicklow","Number","155485"
"Actual change since previous census","2022","Both sexes","Ireland","Number","361671"
"Actual change since previous census","2022","Both sexes","Co. Carlow","Number","4999"
"Actual change since previous census","2022","Both sexes","Co. Cavan","Number","5025"
"Actual change since previous census","2022","Both sexes","Co. Clare","Number","8602"
"Actual change since previous census","2022","Both sexes","Co. Cork","Number","38363"
"Actual change since previous census","2022","Both sexes","Co. Donegal","Number","7129"
"Actual change since previous census","2022","Both sexes","Co. Dublin","Number","103342"
"Actual change since previous census","2022","Both sexes","Co. Galway","Number","18393"
"Actual change since previous census","2022","Both sexes","Co. Kerry","Number","7551"
"Actual change since previous census","2022","Both sexes","Co. Kildare","Number","24473"
"Actual change since previous census","2022","Both sexes","Co. Kilkenny","Number","4453"
"Actual change since previous census","2022","Both sexes","Co. Laois","Number","6960"
"Actual change since previous census","2022","Both sexes","Co. Leitrim","Number","3043"
"Actual change since previous census","2022","Both sexes","Co. Limerick","Number","10545"
"Actual change since previous census","2022","Both sexes","Co. Longford","Number","5761"
"Actual change since previous census","2022","Both sexes","Co. Louth","Number","10216"
"Actual change since previous census","2022","Both sexes","Co. Mayo","Number","6724"
"Actual change since previous census","2022","Both sexes","Co. Meath","Number","25252"
"Actual change since previous census","2022","Both sexes","Co. Monaghan","Number","3446"
"Actual change since previous census","2022","Both sexes","Co. Offaly","Number","4707"
"Actual change since previous census","2022","Both sexes","Co. Roscommon","Number","5451"
"Actual change since previous census","2022","Both sexes","Co. Sligo","Number","4284"
"Actual change since previous census","2022","Both sexes","Co. Tipperary","Number","8108"
"Actual change since previous census","2022","Both sexes","Co. Waterford","Number","10909"
"Actual change since previous census","2022","Both sexes","Co. Westmeath","Number","7070"
"Actual change since previous census","2022","Both sexes","Co. Wexford","Number","13805"
"Actual change since previous census","2022","Both sexes","Co. Wicklow","Number","13060"
"Percentage change since previous census","2022","Both sexes","Ireland","%","7.6"
"Percentage change since previous census","2022","Both sexes","Co. Carlow","%","8.78"
"Percentage change since previous census","2022","Both sexes","Co. Cavan","%","6.6"
"Percentage change since previous census","2022","Both sexes","Co. Clare","%","7.24"
"Percentage change since previous census","2022","Both sexes","Co. Cork","%","7.07"
"Percentage change since previous census","2022","Both sexes","Co. Donegal","%","4.48"
"Percentage change since previous census","2022","Both sexes","Co. Dublin","%","7.67"
"Percentage change since previous census","2022","Both sexes","Co. Galway","%","7.13"
"Percentage change since previous census","2022","Both sexes","Co. Kerry","%","5.11"
"Percentage change since previous census","2022","Both sexes","Co. Kildare","%","11"
"Percentage change since previous census","2022","Both sexes","Co. Kilkenny","%","4.49"
"Percentage change since previous census","2022","Both sexes","Co. Laois","%","8.22"
"Percentage change since previous census","2022","Both sexes","Co. Leitrim","%","9.5"
"Percentage change since previous census","2022","Both sexes","Co. Limerick","%","5.41"
"Percentage change since previous census","2022","Both sexes","Co. Longford","%","14.09"
"Percentage change since previous census","2022","Both sexes","Co. Louth","%","7.93"
"Percentage change since previous census","2022","Both sexes","Co. Mayo","%","5.15"
"Percentage change since previous census","2022","Both sexes","Co. Meath","%","12.95"
"Percentage change since previous census","2022","Both sexes","Co. Monaghan","%","5.61"
"Percentage change since previous census","2022","Both sexes","Co. Offaly","%","6.04"
"Percentage change since previous census","2022","Both sexes","Co. Roscommon","%","8.45"
"Percentage change since previous census","2022","Both sexes","Co. Sligo","%","6.54"
"Percentage change since previous census","2022","Both sexes","Co. Tipperary","%","5.08"
"Percentage change since previous census","2022","Both sexes","Co. Waterford","%","9.39"
"Percentage change since previous census","2022","Both sexes","Co. Westmeath","%","7.96"
"Percentage change since previous census","2022","Both sexes","Co. Wexford","%","9.22"
"Percentage change since previous census","2022","Both sexes","Co. Wicklow","%","9.17"
