"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2016 January","National - all residential properties","Base 2015=100","104"
"Residential Property Price Index","2016 January","National - houses","Base 2015=100","104.1"
"Residential Property Price Index","2016 January","National - apartments","Base 2015=100","102.6"
"Residential Property Price Index","2016 January","Dublin - all residential properties","Base 2015=100","103.1"
"Residential Property Price Index","2016 January","Dublin - houses","Base 2015=100","103.3"
"Residential Property Price Index","2016 January","Dublin - apartments","Base 2015=100","102.2"
"Residential Property Price Index","2016 January","Dublin City - houses","Base 2015=100","101.3"
"Residential Property Price Index","2016 January","Dun Laoghaire-Rathdown - houses","Base 2015=100","103.8"
"Residential Property Price Index","2016 January","Fingal - houses","Base 2015=100","103.3"
"Residential Property Price Index","2016 January","South Dublin - houses","Base 2015=100","99"
"Residential Property Price Index","2016 January","National excluding Dublin - all residential properties","Base 2015=100","104.9"
"Residential Property Price Index","2016 January","National excluding Dublin - houses","Base 2015=100","104.9"
"Residential Property Price Index","2016 January","National excluding Dublin - apartments","Base 2015=100","105.3"
"Residential Property Price Index","2016 January","Border - houses","Base 2015=100","108.2"
"Residential Property Price Index","2016 January","Midland - houses","Base 2015=100","110.5"
"Residential Property Price Index","2016 January","West - houses","Base 2015=100","104.7"
"Residential Property Price Index","2016 January","Mid-East - houses","Base 2015=100","102.9"
"Residential Property Price Index","2016 January","Mid-West - houses","Base 2015=100","104.7"
"Residential Property Price Index","2016 January","South-East - houses","Base 2015=100","104.8"
"Residential Property Price Index","2016 January","South-West - houses","Base 2015=100","108"
"Residential Property Price Index","2016 February","National - all residential properties","Base 2015=100","103.4"
"Residential Property Price Index","2016 February","National - houses","Base 2015=100","103.4"
"Residential Property Price Index","2016 February","National - apartments","Base 2015=100","102.7"
"Residential Property Price Index","2016 February","Dublin - all residential properties","Base 2015=100","102.3"
"Residential Property Price Index","2016 February","Dublin - houses","Base 2015=100","102.4"
"Residential Property Price Index","2016 February","Dublin - apartments","Base 2015=100","102.2"
"Residential Property Price Index","2016 February","Dublin City - houses","Base 2015=100","100.8"
"Residential Property Price Index","2016 February","Dun Laoghaire-Rathdown - houses","Base 2015=100","103.3"
"Residential Property Price Index","2016 February","Fingal - houses","Base 2015=100","103.3"
"Residential Property Price Index","2016 February","South Dublin - houses","Base 2015=100","98.9"
"Residential Property Price Index","2016 February","National excluding Dublin - all residential properties","Base 2015=100","104.4"
"Residential Property Price Index","2016 February","National excluding Dublin - houses","Base 2015=100","104.4"
"Residential Property Price Index","2016 February","National excluding Dublin - apartments","Base 2015=100","105.6"
"Residential Property Price Index","2016 February","Border - houses","Base 2015=100","105.2"
"Residential Property Price Index","2016 February","Midland - houses","Base 2015=100","109.5"
"Residential Property Price Index","2016 February","West - houses","Base 2015=100","106.2"
"Residential Property Price Index","2016 February","Mid-East - houses","Base 2015=100","103.1"
"Residential Property Price Index","2016 February","Mid-West - houses","Base 2015=100","105"
"Residential Property Price Index","2016 February","South-East - houses","Base 2015=100","105.1"
"Residential Property Price Index","2016 February","South-West - houses","Base 2015=100","107"
"Residential Property Price Index","2016 March","National - all residential properties","Base 2015=100","103.7"
"Residential Property Price Index","2016 March","National - houses","Base 2015=100","103.6"
"Residential Property Price Index","2016 March","National - apartments","Base 2015=100","103.2"
"Residential Property Price Index","2016 March","Dublin - all residential properties","Base 2015=100","102.6"
"Residential Property Price Index","2016 March","Dublin - houses","Base 2015=100","102.7"
"Residential Property Price Index","2016 March","Dublin - apartments","Base 2015=100","102"
"Residential Property Price Index","2016 March","Dublin City - houses","Base 2015=100","100.6"
"Residential Property Price Index","2016 March","Dun Laoghaire-Rathdown - houses","Base 2015=100","103.8"
"Residential Property Price Index","2016 March","Fingal - houses","Base 2015=100","104.5"
"Residential Property Price Index","2016 March","South Dublin - houses","Base 2015=100","98.8"
"Residential Property Price Index","2016 March","National excluding Dublin - all residential properties","Base 2015=100","104.8"
"Residential Property Price Index","2016 March","National excluding Dublin - houses","Base 2015=100","104.6"
