"","Total Adults","Total Child Dependents "
"November 2020","6,032","2,452"
"December 2020","5,873","2,327"
"January 2021","5,987","2,326"
"February 2021","5,974","2,264"
"March 2021","5,894","2,166"
"April 2021","5,889","2,193"
"May 2021","5,843","2,148"
"June 2021","5,847","2,167"
"July 2021","6,003","2,129"
"August 2021","6,023","2,189"
"September 2021","6,131","2,344"
"October 2021","6,317","2,513"
"November 2021","6,551","2,548"
"December 2021","6,463","2,451"
"January 2022","6,587","2,563"
"February 2022","6,825","2,667"
"March 2022","7,014","2,811"
"April 2022","7,105","2,944"
"May 2022","7,297","3,028"
"June 2022","7,421","3,071"
"July 2022","7,431","3,137"
"August 2022","7,585","3,220"
"September 2022","7,633","3,342"
"October 2022","7,917","3,480"
"November 2022","8,048","3,494"
"December 2022","8,190","3,442"
"January 2023","8,323","3,431"
"February 2023","8,369","3,373"
"March 2023","8,516","3,472"
"April 2023","8,665","3,594"
"May 2023","8,742","3,699"
"June 2023","8,835","3,765"
"July 2023","9,018","3,829"
"August 2023","8,796","3,895"
"September 2023","8,923","3,904"
"October 2023","9,188","3,991"
"November 2023","9,409","4,105"
"December 2023","9,356","3,962"
"January 2024","9,504","4,027"
"February 2024","9,671","4,170"
"March 2024","9,719","4,147"
"April 2024","9,803","4,206"
"May 2024","9,843","4,316"
"June 2024","9,899","4,404"
"July 2024","10,028","4401"
"August 2024","10,067","4,419"
"September 2024","10,199","4,561"
"October 2024","10,321","4,645"
"November 2024","10,541","4,658"
"December 2024","10,354","4,510"
"January 2025","10,683","4,603"
"February 2025","10,725","4,653"
"March 2025","10,743","4,675"
"April 2025","10,805","4,775"
"May 2025","10,903","4,844"
"June 2025","10,957","4,958"
"July 2025","11,044","5,014"
"August 2025","11,208","5,145"
"September 2025","11,376","5,238"
"October 2025","11,492","5,274"
"November 2025","11,675","5,321"
