"","National ","Dublin","GDA (excl. Dublin)","Outside GDA"
"Q1 2013","765","1125","801","591"
"Q2 2013","771","1157","791","595"
"Q3 2013","802","1242","838","630"
"Q4 2013","789","1231","817","597"
"Q1 2014","790","1221","832","593"
"Q2 2014","817","1293","885","610"
"Q3 2014","854","1362","915","660"
"Q4 2014","839","1348","918","622"
"Q1 2015","850","1343","938","632"
"Q2 2015","874","1395","967","649"
"Q3 2015","923","1477","1020","705"
"Q4 2015","922","1458","1009","688"
"Q1 2016","926","1467","1035","682"
"Q2 2016","951","1513","1045","704"
"Q3 2016","997","1579","1091","770"
"Q4 2016","997","1563","1111","743"
"Q1 2017","1016","1600","1138","753"
"Q2 2017","1053","1655","1187","786"
"Q3 2017","1090","1756","1220","834"
"Q4 2017","1080","1685","1227","802"
"Q1 2018","1088","1719","1206","804"
"Q2 2018","1125","1807","1236","829"
"Q3 2018","1164","1876","1274","891"
"Q4 2018","1152","1829","1268","852"
"Q1 2019","1162","1800","1285","870"
"Q2 2019","1195","1915","1304","887"
"Q3 2019","1226","1950","1325","944"
"Q4 2019","1202","1872","1342","895"
"Q1 2020","1205","1861","1386","899"
"Q2 2020","1210","1885","1348","908"
"Q3 2020","1250","1984","1341","966"
"Q4 2020","1240","1919","1386","938"
"Q1 2021","1279","1978","1410","968"
"Q2 2021","1323","2046","1467","1016"
"Q3 2021","1356","2089","1481","1085"
"Q4 2021","1348","2032","1451","1048"
"Q1 2022","1363","2096","1475","1041"
"Q2 2022","1394","2121","1478","1070"
"Q3 2022","1433","2136","1544","1144"
"Q4 2022","1445","2149","1547","1107"
"Q1 2023","1469","2168","1560","1116"
"Q2 2023","1585","2363","1643","1208"
"Q3 2023","1613","2391","1676","1291"
"Q4 2023","1613","2305","1656","1259"
"Q1 2024","1619","2339","1636","1251"
"Q2 2024","1677","2413","1705","1311"
"Q3 2024","1731","2544","1827","1390"
"Q4 2024","1712","2435","1819","1326"
"Q1 2025","1731","2420","1819","1343"
"Q2 2025","1798","2537","1854","1416"
