"","National - All Residential Properties","National excluding Dublin - All Residential Properties","Dublin - All Residential Properties"
"2015M05","98.4","98.4","98.5"
"2015M06","100","100.1","99.9"
"2015M07","100.8","101.2","100.4"
"2015M08","102","102.6","101.4"
"2015M09","102.4","103.4","101.4"
"2015M10","103.5","104.5","102.6"
"2015M11","103.2","104.3","102.2"
"2015M12","103","104.4","101.6"
"2016M01","104","104.9","103.1"
"2016M02","103.4","104.4","102.3"
"2016M03","103.7","104.8","102.6"
"2016M04","104.3","105.5","103.2"
"2016M05","104.5","106.2","102.9"
"2016M06","105.6","108.2","103.1"
"2016M07","107.9","111.5","104.4"
"2016M08","109.4","112.9","106"
"2016M09","110.7","113.9","107.6"
"2016M10","111.2","114.7","107.9"
"2016M11","112.7","116.4","109.1"
"2016M12","112.2","116.2","108.4"
"2017M01","113","117.1","109"
"2017M02","113.3","117.5","109.3"
"2017M03","113.8","117.7","110"
"2017M04","114.2","119.5","109.2"
"2017M05","115.9","120","112"
"2017M06","117.5","120.9","114.1"
"2017M07","120.4","124.3","116.7"
"2017M08","122.2","126.2","118.4"
"2017M09","123.9","128.1","119.7"
"2017M10","124.3","128.4","120.3"
"2017M11","125.3","130.1","120.6"
"2017M12","125.9","130.8","121.1"
"2018M01","126.5","131.3","121.8"
"2018M02","127.4","132","122.9"
"2018M03","128.2","133.8","122.8"
"2018M04","129.5","136","123.3"
"2018M05","130.3","136.7","124.2"
"2018M06","131.6","139.3","124.4"
"2018M07","132.4","140","125.3"
"2018M08","133.1","140.4","126.3"
"2018M09","134.4","141.9","127.3"
"2018M10","134.7","142.1","127.7"
"2018M11","134.2","142.1","126.8"
"2018M12","133.8","142.4","125.8"
"2019M01","133.1","141.6","125.1"
"2019M02","132.9","141.6","124.7"
"2019M03","133","142.9","123.9"
"2019M04","133.3","143.4","123.9"
"2019M05","133.6","143.9","124.2"
"2019M06","134.2","144.8","124.5"
"2019M07","135.3","146.2","125.3"
"2019M08","135.7","146.5","125.8"
"2019M09","135.9","146.7","125.9"
"2019M10","136","147","125.9"
"2019M11","135.7","146.8","125.6"
"2019M12","134.2","145.9","123.6"
"2020M01","134.4","145.3","124.5"
"2020M02","134.2","144.8","124.6"
"2020M03","134.3","144.7","124.7"
"2020M04","134.2","145.1","124.2"
"2020M05","134.1","145.2","123.9"
"2020M06","134.2","145.7","123.7"
"2020M07","134.4","146.3","123.5"
"2020M08","134.5","146.4","123.6"
"2020M09","134.8","146.9","123.7"
"2020M10","135.4","147.5","124.3"
"2020M11","136.2","148.7","124.8"
"2020M12","137.2","150.2","125.4"
"2021M01","137.8","151","125.7"
"2021M02","138.3","151.2","126.4"
"2021M03","139","151.5","127.6"
"2021M04","140.2","152.8","128.8"
"2021M05","141.3","154","129.9"
"2021M06","143.4","156.4","131.6"
"2021M07","145.8","159.3","133.5"
"2021M08","149.1","163.1","136.3"
"2021M09","151.5","166.1","138.1"
"2021M10","153.3","168.5","139.3"
"2021M11","155.3","171","140.7"
"2021M12","156.7","173.1","141.5"
"2022M01","158.1","175.2","142.2"
"2022M02","159.1","176.3","143.1"
"2022M03","159.9","177.4","143.6"
"2022M04","160.5","178.4","143.9"
"2022M05","161.7","179.7","144.9"
"2022M06","163.4","181.5","146.6"
"2022M07","165","183.4","147.8"
"2022M08","166.7","185.1","149.6"
"2022M09","167.7","185.8","150.9"
"2022M10","168.1","186.6","150.8"
"2022M11","168.4","187.6","150.4"
"2022M12","168.8","188.8","149.9"
"2023M01","167.9","188.5","148.3"
"2023M02","167.3","188.3","147.6"
"2023M03","166.3","187.4","146.3"
"2023M04","166.1","188.3","145.1"
"2023M05","165.9","188.1","144.8"
"2023M06","166.9","189.5","145.4"
"2023M07","167.7","190.7","145.9"
"2023M08","168.5","191.3","146.9"
"2023M09","170.1","193","148.3"
"2023M10","171.9","194.9","149.9"
"2023M11","173.5","196.4","151.8"
"2023M12","175.7","198.8","153.7"
"2024M01","176.9","199.8","155.1"
"2024M02","177.7","200.7","155.8"
"2024M03","178.6","201.3","157"
"2024M04","179.3","202.8","157"
"2024M05","180","203.7","157.6"
"2024M06","181.7","205.6","158.9"
"2024M07","183.9","208","161"
"2024M08","185.6","209.5","162.9"
"2024M09","187","210.9","164.3"
"2024M10","188.5","213","165.3"
"2024M11","190.1","215.1","166.5"
"2024M12","191","216.8","166.5"
"2025M01","191.6","217.6","167"
"2025M02","191.8","218","166.9"
"2025M03","192.1","219","166.4"
"2025M04","192.9","220","167.2"
"2025M05","194","221.2","168.2"
"2025M06","196.1","223.8","169.7"
"2025M07","197.7","226.2","170.6"
"2025M08","199.4","228.6","171.8"
"2025M09","201.1","230.5","173.1"
"2025M10","202.3","232","174.2"
