"STATISTIC Label","Year","Eircode Output","UNIT","VALUE"
"New Dwelling Completions","2016","All","Number","9728"
"New Dwelling Completions","2016","A41: Ballyboughal","Number","27"
"New Dwelling Completions","2016","A42: Garristown","Number","10"
"New Dwelling Completions","2016","A45: Oldtown","Number","2"
"New Dwelling Completions","2016","A63: Greystones","Number","179"
"New Dwelling Completions","2016","A67: Wicklow","Number","68"
"New Dwelling Completions","2016","A75: Castleblaney","Number","19"
"New Dwelling Completions","2016","A81: Carrickmacross","Number","24"
"New Dwelling Completions","2016","A82: Kells","Number","92"
"New Dwelling Completions","2016","A83: Enfield","Number","42"
"New Dwelling Completions","2016","A84: Ashbourne","Number","101"
"New Dwelling Completions","2016","A85: Dunshaughlin","Number","44"
"New Dwelling Completions","2016","A86: Dunboyne","Number","17"
"New Dwelling Completions","2016","A91: Dundalk","Number","157"
"New Dwelling Completions","2016","A92: Drogheda","Number","205"
"New Dwelling Completions","2016","A94: Blackrock","Number","84"
"New Dwelling Completions","2016","A96: Glenageary","Number","321"
"New Dwelling Completions","2016","A98: Bray","Number","59"
"New Dwelling Completions","2016","C15: Navan","Number","170"
"New Dwelling Completions","2016","D01: Dublin 1","Number","23"
"New Dwelling Completions","2016","D02: Dublin 2","Number","46"
"New Dwelling Completions","2016","D03: Dublin 3","Number","41"
"New Dwelling Completions","2016","D04: Dublin 4","Number","45"
"New Dwelling Completions","2016","D05: Dublin 5","Number","21"
"New Dwelling Completions","2016","D06: Dublin 6","Number","49"
"New Dwelling Completions","2016","D07: Dublin 7","Number","71"
"New Dwelling Completions","2016","D08: Dublin 8","Number","84"
"New Dwelling Completions","2016","D09: Dublin 9","Number","129"
"New Dwelling Completions","2016","D10: Dublin 10","Number","3"
"New Dwelling Completions","2016","D11: Dublin 11","Number","108"
"New Dwelling Completions","2016","D12: Dublin 12","Number","44"
"New Dwelling Completions","2016","D13: Dublin 13","Number","285"
"New Dwelling Completions","2016","D14: Dublin 14","Number","152"
"New Dwelling Completions","2016","D15: Dublin 15","Number","577"
"New Dwelling Completions","2016","D16: Dublin 16","Number","123"
"New Dwelling Completions","2016","D17: Dublin 17","Number","11"
"New Dwelling Completions","2016","D18: Dublin 18","Number","407"
"New Dwelling Completions","2016","D20: Dublin 20","Number","1"
"New Dwelling Completions","2016","D22: Dublin 22","Number","42"
"New Dwelling Completions","2016","D24: Dublin 24","Number","227"
"New Dwelling Completions","2016","D6W: Dublin 6W","Number","38"
"New Dwelling Completions","2016","E21: Cahir","Number","18"
"New Dwelling Completions","2016","E25: Cashel","Number","11"
"New Dwelling Completions","2016","E32: Carrick-on-Suir","Number","10"
"New Dwelling Completions","2016","E34: Tipperary","Number","22"
"New Dwelling Completions","2016","E41: Thurles","Number","30"
"New Dwelling Completions","2016","E45: Nenagh","Number","31"
"New Dwelling Completions","2016","E53: Roscrea","Number","11"
"New Dwelling Completions","2016","E91: Clonmel","Number","32"
"New Dwelling Completions","2016","F12: Claremorris","Number","42"
"New Dwelling Completions","2016","F23: Castlebar","Number","39"
"New Dwelling Completions","2016","F26: Ballina","Number","71"
"New Dwelling Completions","2016","F28: Westport","Number","95"
"New Dwelling Completions","2016","F31: Ballinrobe","Number","9"
"New Dwelling Completions","2016","F35: Ballyhaunis","Number","8"
"New Dwelling Completions","2016","F42: Roscommon","Number","39"
"New Dwelling Completions","2016","F45: Castlerea","Number","24"
"New Dwelling Completions","2016","F52: Boyle","Number","19"
"New Dwelling Completions","2016","F56: Ballymote","Number","13"
"New Dwelling Completions","2016","F91: Sligo","Number","65"
"New Dwelling Completions","2016","F92: Letterkenny","Number","129"
"New Dwelling Completions","2016","F93: Lifford","Number","73"
"New Dwelling Completions","2016","F94: Donegal","Number","81"
"New Dwelling Completions","2016","H12: Cavan","Number","54"
"New Dwelling Completions","2016","H14: Belturbet","Number","15"
"New Dwelling Completions","2016","H16: Cootehill","Number","11"
"New Dwelling Completions","2016","H18: Monaghan","Number","47"
"New Dwelling Completions","2016","H23: Clones","Number","0"
"New Dwelling Completions","2016","H53: Ballinasloe","Number","42"
"New Dwelling Completions","2016","H54: Tuam","Number","40"
"New Dwelling Completions","2016","H62: Loughrea","Number","30"
"New Dwelling Completions","2016","H65: Athenry","Number","39"
"New Dwelling Completions","2016","H71: Clifden","Number","14"
"New Dwelling Completions","2016","H91: Galway","Number","348"
"New Dwelling Completions","2016","K32: Balbriggan","Number","73"
"New Dwelling Completions","2016","K34: Skerries","Number","85"
"New Dwelling Completions","2016","K36: Malahide","Number","157"
"New Dwelling Completions","2016","K45: Lusk","Number","15"
"New Dwelling Completions","2016","K56: Rush","Number","31"
"New Dwelling Completions","2016","K67: Swords","Number","179"
"New Dwelling Completions","2016","K78: Lucan","Number","65"
"New Dwelling Completions","2016","N37: Athlone","Number","34"
"New Dwelling Completions","2016","N39: Longford","Number","63"
"New Dwelling Completions","2016","N41: Carrick-on-Shannon","Number","43"
"New Dwelling Completions","2016","N91: Mullingar","Number","78"
"New Dwelling Completions","2016","P12: Macroom","Number","44"
"New Dwelling Completions","2016","P14: Crookstown","Number","14"
"New Dwelling Completions","2016","P17: Kinsale","Number","22"
"New Dwelling Completions","2016","P24: Cobh","Number","22"
"New Dwelling Completions","2016","P25: Midleton","Number","45"
"New Dwelling Completions","2016","P31: Ballincollig","Number","74"
"New Dwelling Completions","2016","P32: Rylane","Number","4"
"New Dwelling Completions","2016","P36: Youghal","Number","17"
"New Dwelling Completions","2016","P43: Carrigaline","Number","73"
"New Dwelling Completions","2016","P47: Dunmanway","Number","29"
"New Dwelling Completions","2016","P51: Mallow","Number","94"
"New Dwelling Completions","2016","P56: Charleville","Number","11"
"New Dwelling Completions","2016","P61: Fermoy","Number","20"
"New Dwelling Completions","2016","P67: Mitchelstown","Number","19"
"New Dwelling Completions","2016","P72: Bandon","Number","50"
"New Dwelling Completions","2016","P75: Bantry","Number","35"
"New Dwelling Completions","2016","P81: Skibbereen","Number","30"
"New Dwelling Completions","2016","P85: Clonakilty","Number","26"
"New Dwelling Completions","2016","R14: Athy","Number","29"
"New Dwelling Completions","2016","R21: Mhuine Bheag","Number","8"
"New Dwelling Completions","2016","R32: Portlaoise","Number","97"
"New Dwelling Completions","2016","R35: Tullamore","Number","37"
"New Dwelling Completions","2016","R42: Birr","Number","28"
"New Dwelling Completions","2016","R45: Edenderry","Number","14"
"New Dwelling Completions","2016","R51: Kildare","Number","34"
"New Dwelling Completions","2016","R56: Curragh","Number","22"
"New Dwelling Completions","2016","R93: Carlow","Number","78"
"New Dwelling Completions","2016","R95: Kilkenny","Number","121"
"New Dwelling Completions","2016","T12: Cork Southside","Number","163"
"New Dwelling Completions","2016","T23: Cork Northside","Number","89"
"New Dwelling Completions","2016","T34: Carrignavar","Number","10"
"New Dwelling Completions","2016","T45: Glanmire","Number","60"
"New Dwelling Completions","2016","T56: Watergrasshill","Number","29"
"New Dwelling Completions","2016","V14: Shannon","Number","0"
"New Dwelling Completions","2016","V15: Kilrush","Number","14"
"New Dwelling Completions","2016","V23: Caherciveen","Number","15"
"New Dwelling Completions","2016","V31: Listowel","Number","17"
"New Dwelling Completions","2016","V35: Kilmallock","Number","30"
"New Dwelling Completions","2016","V42: Newcastle West","Number","15"
"New Dwelling Completions","2016","V92: Tralee","Number","82"
