"","Single House","Scheme House","Apartment"
"","","",""
"2019Q3","1,255","3,311","1,043"
"2019Q4","1,411","3,821","1,173"
"2020Q1","1,105","2,837","987"
"2020Q2","872","1,835","516"
"2020Q3","1,457","2,869","703"
"2020Q4","1,521","4,126","1,662"
"2021Q1","976","2,259","722"
"2021Q2","1,158","2,530","1,276"
"2021Q3","1,198","2,476","956"
"2021Q4","1,383","3,406","2,126"
"2022Q1","1,104","2,799","1,689"
"2022Q2","1,329","3,934","2,319"
"2022Q3","1,515","3,575","2,276"
"2022Q4","1,514","4,823","2,746"
"2023Q1","1,174","3,082","2,375"
"2023Q2","1,403","4,019","1,838"
"2023Q3","1,423","3,642","3,332"
"2023Q4","1,473","4,750","3,987"
"2024Q1","1,171","3,071","1,563"
"2024Q2","1,339","3,954","1,521"
"2024Q3","1,327","4,498","3,058"
"2024Q4","1,449","4,670","2,547"
"2025Q1","1,114","3,034","1,769"
"2025Q2","1,498","4,644","3,031"
"2025Q3","1,524","4,551","3,160"
