"Statistic Label","Year","Age Group","Sex","County","UNIT","VALUE"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Ireland","Thousand","325"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Clare","Thousand","7.4"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Cork","Thousand","36.4"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Cavan","Thousand","5.3"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Carlow","Thousand","3.8"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Donegal","Thousand","10.3"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Dublin","Thousand","89.8"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Galway","Thousand","17.3"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Kildare","Thousand","17.7"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Kilkenny","Thousand","6.6"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Kerry","Thousand","8.8"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Longford","Thousand","3.2"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Louth","Thousand","8.9"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Limerick","Thousand","12.5"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Leitrim","Thousand","2.1"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Laois","Thousand","6.9"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Meath","Thousand","15.8"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Monaghan","Thousand","4.4"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Mayo","Thousand","8.4"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Offaly","Thousand","6.1"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Roscommon","Thousand","4.2"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Sligo","Thousand","4.1"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Tipperary","Thousand","10.4"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Waterford","Thousand","7.3"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Wicklow","Thousand","10.5"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Westmeath","Thousand","6.9"
"Estimated Population (Persons in April)","2017","0 - 4 years","Both sexes","Co. Wexford","Thousand","9.8"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Ireland","Thousand","166.2"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Clare","Thousand","3.8"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Cork","Thousand","18.7"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Cavan","Thousand","2.7"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Carlow","Thousand","1.9"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Donegal","Thousand","5.3"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Dublin","Thousand","45.6"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Galway","Thousand","8.8"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Kildare","Thousand","9.1"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Kilkenny","Thousand","3.4"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Kerry","Thousand","4.4"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Longford","Thousand","1.7"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Louth","Thousand","4.5"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Limerick","Thousand","6.4"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Leitrim","Thousand","1.1"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Laois","Thousand","3.6"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Meath","Thousand","8"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Monaghan","Thousand","2.2"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Mayo","Thousand","4.3"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Offaly","Thousand","3.1"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Roscommon","Thousand","2.2"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Sligo","Thousand","2.2"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Tipperary","Thousand","5.3"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Waterford","Thousand","3.8"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Wicklow","Thousand","5.3"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Westmeath","Thousand","3.5"
"Estimated Population (Persons in April)","2017","0 - 4 years","Male","Co. Wexford","Thousand","5.1"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Ireland","Thousand","158.8"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Clare","Thousand","3.6"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Cork","Thousand","17.7"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Cavan","Thousand","2.6"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Carlow","Thousand","1.9"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Donegal","Thousand","5"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Dublin","Thousand","44.2"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Galway","Thousand","8.5"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Kildare","Thousand","8.6"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Kilkenny","Thousand","3.2"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Kerry","Thousand","4.4"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Longford","Thousand","1.6"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Louth","Thousand","4.3"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Limerick","Thousand","6.1"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Leitrim","Thousand","1"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Laois","Thousand","3.3"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Meath","Thousand","7.7"
"Estimated Population (Persons in April)","2017","0 - 4 years","Female","Co. Monaghan","Thousand","2.1"
