"","Housing of the Working Classes Acts","Labourers Acts"
"1887","227","1023"
"1888","100","1537"
"1889","169","354"
"1890","42","3191"
"1891","254","1300"
"1892","48","872"
"1893","0","784"
"1894","10","661"
"1895","194","492"
"1896","227","621"
"1897","154","856"
"1898","146","757"
"1899","21","873"
"1900","667","0"
"1901","149","355"
"1902","168","292"
"1903","88","387"
"1904","160","853"
"1905","614","1176"
"1906","458","1548"
"1907","157","1120"
"1908","77","994"
"1909","69","781"
"1910","357","1547"
"1911","256","3373"
"1912","1092","5015"
"1913","840","3337"
"1914","821","2391"
"1915","462","1536"
"1916","30","1286"
"1917","613","0"
"1918","75","1972"
