"Quarter","New dwellings","Existing dwellings"
"2015Q1","94","96.8"
"2015Q2","98.1","98.7"
"2015Q3","102.7","101.6"
"2015Q4","105.1","103"
"2016Q1","106.4","103.3"
"2016Q2","106.2","104.6"
"2016Q3","108.3","109.5"
"2016Q4","109.6","112.5"
"2017Q1","110.5","113.9"
"2017Q2","111.6","116.6"
"2017Q3","115.5","123.5"
"2017Q4","116.4","126.9"
"2018Q1","120.2","128.6"
"2018Q2","124.1","131.4"
"2018Q3","126.8","134.3"
"2018Q4","127.9","135.2"
"2019Q1","128","133.5"
"2019Q2","129.4","134"
"2019Q3","130.8","136.1"
"2019Q4","131.1","135.6"
"2020Q1","131.3","134.1"
"2020Q2","132.1","133.7"
"2020Q3","132.9","133.9"
"2020Q4","133.8","135.9"
"2021Q1","134.6","138.4"
"2021Q2","135.1","142.6"
"2021Q3","137.2","151.3"
"2021Q4","140.9","158.4"
"2022Q1","142.9","162.8"
"2022Q2","145.7","165.7"
"2022Q3","149.7","170.4"
"2022Q4","155.2","171.4"
"2023Q1","158.7","168.7"
"2023Q2","161.7","166.6"
"2023Q3","165.3","168.8"
"2023Q4","169.5","173.9"
"2024Q1","172.1","178.3"
"2024Q2","173.7","181.3"
"2024Q3","175.9","187.3"
"2024Q4","178.4","192.3"
"2025Q1","179.2","194.5"
"2025Q2","181","197.2"
