area_name,year,quarter,time_period,rent_growth,population_growth,housing_completions,rent_level,ppi_dublin_all,ppi_nat_ex_dublin_all,ppi_national_all,mortgage_loan_book_n,arrears_90d_n,arrears_720d_n,arrears_90d_rate,arrears_720d_rate,log_housing_completions,log_rent_level,log_ppi_national,log_ppi_dublin,completions_per_100_loans,rent_level_lag_4,rent_level_growth_yoy,pred_arrears_90d_n,pred_arrears_90d_rate,pred_rent_level,pred_housing_stress,pred_housing_stress_score,cluster,cluster_label,predicted_classification_glm,rent_growth_score_x,population_growth_score_x,rent_level_score_x,arrears_score_x,completions_score_x,top_driver_tuples,dominant_model_driver,top_3_model_drivers,factual_explanation,semi_factual_explanation,counterfactual_explanation,llm_context_summary,topic_tags,entity_type,source_dataset,counterfactual_precise
Carlow,2018,1,2018Q1,7.174631139,1.215277778,855.0827136,774.45,29.35833333,27.10833333,29.14166667,250,35,7,0.14,0.028,6.752367,6.6521531,3.372168994,3.379576436,342.0330854,,,49.38456552,0.197538262,1045.84562,206.5945262,42.82050624,0,High pressure growth areas,Stable,21.23378897,13.89887349,22.72420332,24.41698953,68.74348418,"[('limited housing supply', 68.74348417544405), ('arrears risk', 24.41698953194562), ('rent level', 22.724203320845483)]",limited housing supply,"limited housing supply, arrears risk, rent level","Carlow (2018Q1) is estimate to be in Stable with a housing stress score of 42.8. The dominant driver is limited housing supply. Key signals are rent growth of 7.2%, population growth of 1.2%, housing completions of 855, estimate rent level of 1046, and estimate arrears rate of 0.198. Top drivers: limited housing supply, arrears risk, rent level.","Carlow (2018Q1) sits close to a lower-pressure scenario. If housing completions were moderately higher, the area would likely show some reduction in housing stress, even if it remained in Stable.","To move Carlow (2018Q1) from Stable to Lower pressure, the model suggests improving supply conditions. A practical counterfactual is a meaningful increase in completions or a reduction in supply bottlenecks. The current stress score of 42.8 would need to fall by about 17.8 points.",Carlow 2018Q1 | class=Stable | stress_score=42.8 | pred_arrears_rate=0.198 | pred_rent_level=1046 | rent_growth=7.2 | population_growth=1.2 | housing_completions=855 | cluster=High pressure growth areas | dominant_driver=limited housing supply,"housing pressure, rents, arrears, supply, population growth",county,signals+rents+ppi+arrears+glm,"To move Carlow (2018Q1) down from Stable, the model suggests a reduction of about 17.8 stress-score points. A model-based counterfactual is to reduce rent growth by 2401.86 percentage points (about 33477.1% relative to current rent growth) OR increase population growth by 94.99 percentage points (about 7815.9% relative to current population growth) OR reduce housing completions by 100.0%."
Carlow,2018,2,2018Q2,5.710049803,1.215277778,855.0827136,774.45,29.28333333,29.025,30.06666667,250,32,7,0.128,0.028,6.752367,6.6521531,3.403417138,3.377018526,342.0330854,,,45.64496636,0.182579865,1084.32264,197.9754816,42.54931908,0,High pressure growth areas,Stable,7.853483725,13.89887349,22.72420332,21.67776298,68.74348418,"[('limited housing supply', 68.74348417544405), ('rent level', 22.724203320845483), ('arrears risk', 21.677762982689746)]",limited housing supply,"limited housing supply, rent level, arrears risk","Carlow (2018Q2) is estimate to be in Stable with a housing stress score of 42.5. The dominant driver is limited housing supply. Key signals are rent growth of 5.7%, population growth of 1.2%, housing completions of 855, estimate rent level of 1084, and estimate arrears rate of 0.183. Top drivers: limited housing supply, rent level, arrears risk.","Carlow (2018Q2) sits close to a lower-pressure scenario. If housing completions were moderately higher, the area would likely show some reduction in housing stress, even if it remained in Stable.","To move Carlow (2018Q2) from Stable to Lower pressure, the model suggests improving supply conditions. A practical counterfactual is a meaningful increase in completions or a reduction in supply bottlenecks. The current stress score of 42.5 would need to fall by about 17.5 points.",Carlow 2018Q2 | class=Stable | stress_score=42.5 | pred_arrears_rate=0.183 | pred_rent_level=1084 | rent_growth=5.7 | population_growth=1.2 | housing_completions=855 | cluster=High pressure growth areas | dominant_driver=limited housing supply,"housing pressure, rents, arrears, supply, population growth",county,signals+rents+ppi+arrears+glm,"To move Carlow (2018Q2) down from Stable, the model suggests a reduction of about 17.5 stress-score points. A model-based counterfactual is to reduce rent growth by 2386.35 percentage points (about 41792.1% relative to current rent growth) OR increase population growth by 94.37 percentage points (about 7765.5% relative to current population growth) OR reduce housing completions by 100.0%."
Carlow,2018,3,2018Q3,7.238178923,1.215277778,855.0827136,774.45,29.05833333,28.40833333,29.70833333,252,28,7,0.111111111,0.027777778,6.752367,6.6521531,3.39142759,3.369305304,339.3185371,,,50.83248123,0.201716195,961.1350909,193.8765138,43.86250994,0,High pressure growth areas,Stable,36.17707215,13.89887349,22.72420332,19.98463374,68.74348418,"[('limited housing supply', 68.74348417544405), ('rent growth', 36.1770721468858), ('rent level', 22.724203320845483)]",limited housing supply,"limited housing supply, rent growth, rent level","Carlow (2018Q3) is estimate to be in Stable with a housing stress score of 43.9. The dominant driver is limited housing supply. Key signals are rent growth of 7.2%, population growth of 1.2%, housing completions of 855, estimate rent level of 961, and estimate arrears rate of 0.202. Top drivers: limited housing supply, rent growth, rent level.","Carlow (2018Q3) sits close to a lower-pressure scenario. If housing completions were moderately higher, the area would likely show some reduction in housing stress, even if it remained in Stable.","To move Carlow (2018Q3) from Stable to Lower pressure, the model suggests improving supply conditions. A practical counterfactual is a meaningful increase in completions or a reduction in supply bottlenecks. The current stress score of 43.9 would need to fall by about 18.9 points.",Carlow 2018Q3 | class=Stable | stress_score=43.9 | pred_arrears_rate=0.202 | pred_rent_level=961 | rent_growth=7.2 | population_growth=1.2 | housing_completions=855 | cluster=High pressure growth areas | dominant_driver=limited housing supply,"housing pressure, rents, arrears, supply, population growth",county,signals+rents+ppi+arrears+glm,"To move Carlow (2018Q3) down from Stable, the model suggests a reduction of about 18.9 stress-score points. A model-based counterfactual is to reduce rent growth by 2405.98 percentage points (about 33240.2% relative to current rent growth) OR increase population growth by 95.15 percentage points (about 7829.4% relative to current population growth) OR reduce housing completions by 100.0%."
Carlow,2018,4,2018Q4,6.610301839,1.215277778,855.0827136,774.45,27.98333333,27.69166667,28.80833333,250,25,6,0.1,0.024,6.752367,6.6521531,3.360664697,3.331609095,342.0330854,,,49.46134598,0.197845384,914.9358379,181.0158321,44.22617893,0,High pressure growth areas,Stable,39.18062352,13.89887349,22.72420332,17.85452391,68.74348418,"[('limited housing supply', 68.74348417544405), ('rent growth', 39.18062352026729), ('rent level', 22.724203320845483)]",limited housing supply,"limited housing supply, rent growth, rent level","Carlow (2018Q4) is estimate to be in Stable with a housing stress score of 44.2. The dominant driver is limited housing supply. Key signals are rent growth of 6.6%, population growth of 1.2%, housing completions of 855, estimate rent level of 915, and estimate arrears rate of 0.198. Top drivers: limited housing supply, rent growth, rent level.","Carlow (2018Q4) sits close to a lower-pressure scenario. If housing completions were moderately higher, the area would likely show some reduction in housing stress, even if it remained in Stable.","To move Carlow (2018Q4) from Stable to Lower pressure, the model suggests improving supply conditions. A practical counterfactual is a meaningful increase in completions or a reduction in supply bottlenecks. The current stress score of 44.2 would need to fall by about 19.2 points.",Carlow 2018Q4 | class=Stable | stress_score=44.2 | pred_arrears_rate=0.198 | pred_rent_level=915 | rent_growth=6.6 | population_growth=1.2 | housing_completions=855 | cluster=High pressure growth areas | dominant_driver=limited housing supply,"housing pressure, rents, arrears, supply, population growth",county,signals+rents+ppi+arrears+glm,"To move Carlow (2018Q4) down from Stable, the model suggests a reduction of about 19.2 stress-score points. A model-based counterfactual is to reduce rent growth by 2402.17 percentage points (about 36339.7% relative to current rent growth) OR increase population growth by 95.00 percentage points (about 7816.9% relative to current population growth) OR reduce housing completions by 100.0%."
Carlow,2019,1,2019Q1,6.498452097,1.886792453,855.0827136,826.31,26.15,26.8,27.44166667,248,21,4,0.084677419,0.016129032,6.752367,6.716970006,3.31206254,3.263849191,344.7914168,774.45,6.696365162,49.65716725,0.200230513,1022.892463,204.8142828,41.77827781,0,High pressure growth areas,Stable,51.83895431,88.23933738,23.69639515,15.80054642,68.74348418,"[('population growth', 88.2393373815768), ('limited housing supply', 68.74348417544405), ('rent growth', 51.8389543123674)]",population growth,"population growth, limited housing supply, rent growth","Carlow (2019Q1) is estimate to be in Stable with a housing stress score of 41.8. The dominant driver is population growth. Key signals are rent growth of 6.5%, population growth of 1.9%, housing completions of 855, estimate rent level of 1023, and estimate arrears rate of 0.200. Top drivers: population growth, limited housing supply, rent growth.","Carlow (2019Q1) is close to a less pressured outcome. If demand growth had been slightly weaker or supply had kept pace better, the model would assign a somewhat lower stress score, even if classification did not fully change from Stable.","To move Carlow (2019Q1) from Stable to Lower pressure, the model suggests reducing the demand-supply imbalance. A plausible counterfactual is higher supply growth alongside current demand conditions. The current stress score of 41.8 would need to fall by about 16.8 points.",Carlow 2019Q1 | class=Stable | stress_score=41.8 | pred_arrears_rate=0.200 | pred_rent_level=1023 | rent_growth=6.5 | population_growth=1.9 | housing_completions=855 | cluster=High pressure growth areas | dominant_driver=population growth,"housing pressure, rents, arrears, supply, population growth",county,signals+rents+ppi+arrears+glm,"To move Carlow (2019Q1) down from Stable, the model suggests a reduction of about 16.8 stress-score points. A model-based counterfactual is to reduce rent growth by 2404.53 percentage points (about 37001.5% relative to current rent growth) OR increase population growth by 95.09 percentage points (about 5039.8% relative to current population growth) OR reduce housing completions by 100.0%."
Carlow,2019,2,2019Q2,7.742269305,1.886792453,855.0827136,826.31,26.20833333,27.04166667,27.6,253,25,6,0.098814229,0.023715415,6.752367,6.716970006,3.317815773,3.266077426,337.9773572,774.45,6.696365162,53.32940979,0.210788181,941.3010768,198.4151417,42.55809918,0,High pressure growth areas,Stable,70.90800494,88.23933738,23.69639515,20.12870531,68.74348418,"[('population growth', 88.2393373815768), ('rent growth', 70.90800494490347), ('limited housing supply', 68.74348417544405)]",population growth,"population growth, rent growth, limited housing supply","Carlow (2019Q2) is estimate to be in Stable with a housing stress score of 42.6. The dominant driver is population growth. Key signals are rent growth of 7.7%, population growth of 1.9%, housing completions of 855, estimate rent level of 941, and estimate arrears rate of 0.211. Top drivers: population growth, rent growth, limited housing supply.","Carlow (2019Q2) is close to a less pressured outcome. If demand growth had been slightly weaker or supply had kept pace better, the model would assign a somewhat lower stress score, even if classification did not fully change from Stable.","To move Carlow (2019Q2) from Stable to Lower pressure, the model suggests reducing the demand-supply imbalance. A plausible counterfactual is higher supply growth alongside current demand conditions. The current stress score of 42.6 would need to fall by about 17.6 points.",Carlow 2019Q2 | class=Stable | stress_score=42.6 | pred_arrears_rate=0.211 | pred_rent_level=941 | rent_growth=7.7 | population_growth=1.9 | housing_completions=855 | cluster=High pressure growth areas | dominant_driver=population growth,"housing pressure, rents, arrears, supply, population growth",county,signals+rents+ppi+arrears+glm,"To move Carlow (2019Q2) down from Stable, the model suggests a reduction of about 17.6 stress-score points. A model-based counterfactual is to reduce rent growth by 2414.65 percentage points (about 31187.9% relative to current rent growth) OR increase population growth by 95.49 percentage points (about 5061.0% relative to current population growth) OR reduce housing completions by 100.0%."
Carlow,2019,3,2019Q3,7.242535976,1.886792453,855.0827136,826.31,26.80833333,27.325,28.04166667,252,29,7,0.115079365,0.027777778,6.752367,6.716970006,3.333691499,3.288712784,339.3185371,774.45,6.696365162,52.5431971,0.20850475,923.3676341,192.5265381,42.22353524,0,High pressure growth areas,Stable,45.19021849,88.23933738,23.69639515,28.37961078,68.74348418,"[('population growth', 88.2393373815768), ('limited housing supply', 68.74348417544405), ('rent growth', 45.19021848604295)]",population growth,"population growth, limited housing supply, rent growth","Carlow (2019Q3) is estimate to be in Stable with a housing stress score of 42.2. The dominant driver is population growth. Key signals are rent growth of 7.2%, population growth of 1.9%, housing completions of 855, estimate rent level of 923, and estimate arrears rate of 0.209. Top drivers: population growth, limited housing supply, rent growth.","Carlow (2019Q3) is close to a less pressured outcome. If demand growth had been slightly weaker or supply had kept pace better, the model would assign a somewhat lower stress score, even if classification did not fully change from Stable.","To move Carlow (2019Q3) from Stable to Lower pressure, the model suggests reducing the demand-supply imbalance. A plausible counterfactual is higher supply growth alongside current demand conditions. The current stress score of 42.2 would need to fall by about 17.2 points.",Carlow 2019Q3 | class=Stable | stress_score=42.2 | pred_arrears_rate=0.209 | pred_rent_level=923 | rent_growth=7.2 | population_growth=1.9 | housing_completions=855 | cluster=High pressure growth areas | dominant_driver=population growth,"housing pressure, rents, arrears, supply, population growth",county,signals+rents+ppi+arrears+glm,"To move Carlow (2019Q3) down from Stable, the model suggests a reduction of about 17.2 stress-score points. A model-based counterfactual is to reduce rent growth by 2412.50 percentage points (about 33310.2% relative to current rent growth) OR increase population growth by 95.41 percentage points (about 5056.5% relative to current population growth) OR reduce housing completions by 100.0%."
Carlow,2019,4,2019Q4,6.425215942,1.886792453,855.0827136,826.31,25.74166667,26.525,27.15,255,30,7,0.117647059,0.02745098,6.752367,6.716970006,3.301377046,3.24811095,335.3265544,774.45,6.696365162,51.93447502,0.203664608,882.2910102,179.6914527,42.04596242,0,High pressure growth areas,Stable,47.04820024,88.23933738,23.69639515,29.51577488,68.74348418,"[('population growth', 88.2393373815768), ('limited housing supply', 68.74348417544405), ('rent growth', 47.04820024025419)]",population growth,"population growth, limited housing supply, rent growth","Carlow (2019Q4) is estimate to be in Stable with a housing stress score of 42.0. The dominant driver is population growth. Key signals are rent growth of 6.4%, population growth of 1.9%, housing completions of 855, estimate rent level of 882, and estimate arrears rate of 0.204. Top drivers: population growth, limited housing supply, rent growth.","Carlow (2019Q4) is close to a less pressured outcome. If demand growth had been slightly weaker or supply had kept pace better, the model would assign a somewhat lower stress score, even if classification did not fully change from Stable.","To move Carlow (2019Q4) from Stable to Lower pressure, the model suggests reducing the demand-supply imbalance. A plausible counterfactual is higher supply growth alongside current demand conditions. The current stress score of 42.0 would need to fall by about 17.0 points.",Carlow 2019Q4 | class=Stable | stress_score=42.0 | pred_arrears_rate=0.204 | pred_rent_level=882 | rent_growth=6.4 | population_growth=1.9 | housing_completions=855 | cluster=High pressure growth areas | dominant_driver=population growth,"housing pressure, rents, arrears, supply, population growth",county,signals+rents+ppi+arrears+glm,"To move Carlow (2019Q4) down from Stable, the model suggests a reduction of about 17.0 stress-score points. A model-based counterfactual is to reduce rent growth by 2407.88 percentage points (about 37475.4% relative to current rent growth) OR increase population growth by 95.22 percentage points (about 5046.8% relative to current population growth) OR reduce housing completions by 100.0%."
Carlow,2020,1,2020Q1,6.721889229,1.01010101,855.0827136,870.88,26.28333333,25.65833333,26.93333333,258,29,8,0.112403101,0.031007752,6.752367,6.769504195,3.293364677,3.268935025,331.4274084,826.31,5.393859447,57.3990237,0.222476836,940.3309698,209.201859,44.72297561,0,High pressure growth areas,Stable,88.65826327,41.01352092,25.07609297,29.36484482,68.74348418,"[('rent growth', 88.65826327390198), ('limited housing supply', 68.74348417544405), ('population growth', 41.01352092424167)]",rent growth,"rent growth, limited housing supply, population growth","Carlow (2020Q1) is estime to be in Stable with a housing stress score of 44.7. The dominant driver is rent growth. Key signals are rent growth of 6.7%, population growth of 1.0%, housing completions of 855, estimate rent level of 940, and estimate arrears rate of 0.222. Top drivers: rent growth, limited housing supply, population growth.","Carlow (2020Q1) is near a less pressured scenario. If rent growth had been somewhat lower this quarter, the estimate housing stress would ease, though the area may still remain in Stable.","To move Carlow (2020Q1) from Stable to Lower pressure, the model suggests lower rent escalation. A plausible counterfactual is slower rent growth over the quarter or stronger supply response. The current stress score of 44.7 would need to fall by about 19.7 points.",Carlow 2020Q1 | class=Stable | stress_score=44.7 | pred_arrears_rate=0.222 | pred_rent_level=940 | rent_growth=6.7 | population_growth=1.0 | housing_completions=855 | cluster=High pressure growth areas | dominant_driver=rent growth,"housing pressure, rents, arrears, supply, population growth",county,signals+rents+ppi+arrears+glm,"To move Carlow (2020Q1) down from Stable, the model suggests a reduction of about 19.7 stress-score points. A model-based counterfactual is to reduce rent growth by 2425.28 percentage points (about 36080.3% relative to current rent growth) OR increase population growth by 95.91 percentage points (about 9495.2% relative to current population growth) OR reduce housing completions by 100.0%."
Carlow,2020,2,2020Q2,5.798273661,1.01010101,855.0827136,870.88,25.9,25.90833333,26.89166667,253,29,8,0.114624506,0.031620553,6.752367,6.769504195,3.291816449,3.254242969,337.9773572,826.31,5.393859447,55.65457697,0.219978565,916.391208,201.586423,44.72401017,0,High pressure growth areas,Stable,87.91183966,41.01352092,25.07609297,27.29510668,68.74348418,"[('rent growth', 87.91183965545045), ('limited housing supply', 68.74348417544405), ('population growth', 41.01352092424167)]",rent growth,"rent growth, limited housing supply, population growth","Carlow (2020Q2) is estimate to be in Stable with a housing stress score of 44.7. The dominant driver is rent growth. Key signals are rent growth of 5.8%, population growth of 1.0%, housing completions of 855, estimate rent level of 916, and estimate arrears rate of 0.220. Top drivers: rent growth, limited housing supply, population growth.","Carlow (2020Q2) is near a less pressured scenario. If rent growth had been somewhat lower this quarter, the estimate housing stress would ease, though the area may still remain in Stable.","To move Carlow (2020Q2) from Stable to Lower pressure, the model suggests lower rent escalation. A plausible counterfactual is slower rent growth over the quarter or stronger supply response. The current stress score of 44.7 would need to fall by about 19.7 points.",Carlow 2020Q2 | class=Stable | stress_score=44.7 | pred_arrears_rate=0.220 | pred_rent_level=916 | rent_growth=5.8 | population_growth=1.0 | housing_completions=855 | cluster=High pressure growth areas | dominant_driver=rent growth,"housing pressure, rents, arrears, supply, population growth",county,signals+rents+ppi+arrears+glm,"To move Carlow (2020Q2) down from Stable, the model suggests a reduction of about 19.7 stress-score points. A model-based counterfactual is to reduce rent growth by 2423.05 percentage points (about 41789.2% relative to current rent growth) OR increase population growth by 95.82 percentage points (about 9486.5% relative to current population growth) OR reduce housing completions by 100.0%."
Carlow,2020,3,2020Q3,4.359816152,1.01010101,855.0827136,870.88,25.55833333,26.09166667,26.83333333,254,29,7,0.114173228,0.027559055,6.752367,6.769504195,3.289644896,3.240963421,336.6467376,826.31,5.393859447,55.00077496,0.216538484,902.8635308,195.5047003,44.39829302,0,High pressure growth areas,Stable,87.30306221,41.01352092,25.07609297,29.37970123,68.74348418,"[('rent growth', 87.30306221350057), ('limited housing supply', 68.74348417544405), ('population growth', 41.01352092424167)]",rent growth,"rent growth, limited housing supply, population growth","Carlow (2020Q3) is estimate to be in Stable with a housing stress score of 44.4. The dominant driver is rent growth. Key signals are rent growth of 4.4%, population growth of 1.0%, housing completions of 855, estimate rent level of 903, and estimate arrears rate of 0.217. Top drivers: rent growth, limited housing supply, population growth.","Carlow (2020Q3) is near a less pressured scenario. If rent growth had been somewhat lower this quarter, the estimate housing stress would ease, though the area may still remain in Stable.","To move Carlow (2020Q3) from Stable to Lower pressure, the model suggests lower rent escalation. A plausible counterfactual is slower rent growth over the quarter or stronger supply response. The current stress score of 44.4 would need to fall by about 19.4 points.",Carlow 2020Q3 | class=Stable | stress_score=44.4 | pred_arrears_rate=0.217 | pred_rent_level=903 | rent_growth=4.4 | population_growth=1.0 | housing_completions=855 | cluster=High pressure growth areas | dominant_driver=rent growth,"housing pressure, rents, arrears, supply, population growth",county,signals+rents+ppi+arrears+glm,"To move Carlow (2020Q3) down from Stable, the model suggests a reduction of about 19.4 stress-score points. A model-based counterfactual is to reduce rent growth by 2419.95 percentage points (about 55505.8% relative to current rent growth) OR increase population growth by 95.70 percentage points (about 9474.4% relative to current population growth) OR reduce housing completions by 100.0%."
