area_name,area_level,rent_growth,population_growth,housing_completions,time_period,population_growth_score,rent_pressure_score,supply_gap_score,overall_housing_pressure_score,classification,dominant_driver,explanation_summary,time_index,score_qoq_change,score_4q_avg,rent_growth_4q_avg,population_growth_4q_avg,score_rank_in_period,score_percentile_in_period,model_feature_version,geography_level,coverage_scope,source_name,source_period,published_at,quality_flag,data_mode
Mayo,county,12.538864260927124,2.0161290322580645,555.934207666649,2025Q3,79.91202346041099,88.09628068521644,81.54475026989589,83.83881707412714,Critical,Affordability,"Mayo is classified as Critical with an overall score of 83.8. The dominant driver is affordability, supported by population score 79.9, rent score 88.1, and supply gap score 81.5.",8103,4.043215518159187,75.1640084941275,12.737774726514452,1.9566932174220066,1,100.0,v1,county,County,CSO and Department of Housing composite housing pressure pipeline,2025Q3,2026-04-13T02:26:13+00:00,verified-composite,local
Tipperary,county,11.971679677508478,1.5546918378678576,369.65837770778955,2025Q3,61.62233102821724,81.77918182919174,96.27488177362568,83.54609164677042,Critical,Supply gap,"Tipperary is classified as Critical with an overall score of 83.5. The dominant driver is supply gap, supported by population score 61.6, rent score 81.8, and supply gap score 96.3.",8103,0.5506283125452711,80.2840754990969,12.827353335415829,1.8066794706560185,2,96.15384615384616,v1,county,County,CSO and Department of Housing composite housing pressure pipeline,2025Q3,2026-04-13T02:26:13+00:00,verified-composite,local
Limerick,county,13.607646978210216,1.381851681252879,560.2418620353411,2025Q3,54.77157572965986,100.0,81.2041139386152,83.43596072137805,Critical,Affordability,"Limerick is classified as Critical with an overall score of 83.4. The dominant driver is affordability, supported by population score 54.8, rent score 100.0, and supply gap score 81.2.",8103,8.737707291454967,77.45309858083036,14.028906376486153,1.6498856934549953,3,92.3076923076923,v1,county,County,CSO and Department of Housing composite housing pressure pipeline,2025Q3,2026-04-13T02:26:13+00:00,verified-composite,local
Carlow,county,12.420806797571823,2.1806853582554386,717.8177907230055,2025Q3,86.43443783630694,86.7813989191927,68.74348417304508,79.4968408041565,High pressure,Affordability,"Carlow is classified as High pressure with an overall score of 79.5. The dominant driver is affordability, supported by population score 86.4, rent score 86.8, and supply gap score 68.7.",8103,12.29867631486843,63.15162657989168,10.672537029666337,1.990964255658406,4,88.46153846153845,v1,county,County,CSO and Department of Housing composite housing pressure pipeline,2025Q3,2026-04-13T02:26:13+00:00,verified-composite,local
Sligo,county,12.957080733598028,0.41379310344827197,431.5414126319317,2025Q3,16.401253918495232,92.75422604959181,91.38135778565666,76.93448431779844,High pressure,Affordability,"Sligo is classified as High pressure with an overall score of 76.9. The dominant driver is affordability, supported by population score 16.4, rent score 92.8, and supply gap score 91.4.",8103,15.21520577972818,63.63661026539498,11.022172430069595,0.731102190840062,5,84.61538461538461,v1,county,County,CSO and Department of Housing composite housing pressure pipeline,2025Q3,2026-04-13T02:26:13+00:00,verified-composite,local
Roscommon,county,9.405486284289273,2.312925170068031,432.94721380217044,2025Q3,91.67594310451518,53.19783843136224,91.27019126389006,76.12240049900396,High pressure,Population growth,"Roscommon is classified as High pressure with an overall score of 76.1. The dominant driver is population growth, supported by population score 91.7, rent score 53.2, and supply gap score 91.3.",8103,0.76923505680098,73.40255936687892,10.714883682451504,2.220130770754909,6,80.76923076923077,v1,county,County,CSO and Department of Housing composite housing pressure pipeline,2025Q3,2026-04-13T02:26:13+00:00,verified-composite,local
Waterford,county,10.671244394618826,2.5229357798165,714.9310622271478,2025Q3,100.0,67.29539916295379,68.9717579666389,74.50686285183708,High pressure,Population growth,"Waterford is classified as High pressure with an overall score of 74.5. The dominant driver is population growth, supported by population score 100.0, rent score 67.3, and supply gap score 69.0.",8103,16.457837112998902,55.32004637978432,7.936418266859484,2.2214040037237264,7,76.92307692307693,v1,county,County,CSO and Department of Housing composite housing pressure pipeline,2025Q3,2026-04-13T02:26:13+00:00,verified-composite,local
Leitrim,county,10.860020230539227,0.8264462809917473,322.5508899615294,2025Q3,32.75732531930943,69.39791684767313,100.0,74.31063180293114,High pressure,Supply gap,"Leitrim is classified as High pressure with an overall score of 74.3. The dominant driver is supply gap, supported by population score 32.8, rent score 69.4, and supply gap score 100.0.",8103,-9.175748500270643,82.65348241778524,14.89327529318302,1.1114077444516726,8,73.07692307692307,v1,county,County,CSO and Department of Housing composite housing pressure pipeline,2025Q3,2026-04-13T02:26:13+00:00,verified-composite,local
Kilkenny,county,10.220182170264648,2.4456521739130332,660.6315183005188,2025Q3,96.93675889328075,62.27162957406749,73.26560233071152,73.60224454056777,High pressure,Population growth,"Kilkenny is classified as High pressure with an overall score of 73.6. The dominant driver is population growth, supported by population score 96.9, rent score 62.3, and supply gap score 73.3.",8103,11.857523037523777,61.623167886438445,9.77465328542039,2.0627583260472067,9,69.23076923076923,v1,county,County,CSO and Department of Housing composite housing pressure pipeline,2025Q3,2026-04-13T02:26:13+00:00,verified-composite,local
Longford,county,12.20035426097225,0.6507592190889309,515.264057108868,2025Q3,25.793729047525034,84.32607748156296,84.76082326296705,72.79350610731701,High pressure,Supply gap,"Longford is classified as High pressure with an overall score of 72.8. The dominant driver is supply gap, supported by population score 25.8, rent score 84.3, and supply gap score 84.8.",8103,-6.2695690073748125,78.29989800155131,15.418568763022858,1.0423931393721304,10,65.38461538461539,v1,county,County,CSO and Department of Housing composite housing pressure pipeline,2025Q3,2026-04-13T02:26:13+00:00,verified-composite,local
